time         inUsed     rate       available  committed  pageFault  
17:1:34.966  0          0          32768      0          0          
17:1:35.475  0          0          32768      0          0          
17:1:35.981  0          0          32768      0          0          
17:1:36.485  0          0          32768      0          0          
17:1:36.997  0          0          32768      0          0          
17:1:37.500  0          0          32768      0          0          
17:1:38.14   1024       3.125      31744      13312      0.42735    
17:1:38.515  1024       3.125      31744      13312      0.42735    
17:1:39.19   2048       6.25       30720      13312      0.809717   
17:1:39.524  2048       6.25       30720      13312      0.809717   
17:1:40.32   3072       9.375      29696      13312      1.15385    
17:1:40.540  3072       9.375      29696      13312      1.15385    
17:1:41.48   4096       12.5       28672      13312      1.4652     
17:1:41.562  4096       12.5       28672      13312      1.4652     
17:1:42.62   5120       15.625     27648      13312      1.71233    
17:1:42.577  5120       15.625     27648      13312      1.71233    
17:1:43.83   5120       15.625     27648      13312      1.60772    
17:1:43.596  5120       15.625     27648      13312      1.60772    
17:1:44.115  6144       18.75      26624      13312      1.85185    
17:1:44.619  6144       18.75      26624      13312      1.85185    
17:1:45.135  6144       18.75      26624      13312      1.74927    
17:1:45.637  6144       18.75      26624      13312      1.74927    
17:1:46.145  6144       18.75      26624      13312      1.65746    
17:1:46.649  6144       18.75      26624      13312      1.65746    
17:1:47.165  7168       21.875     25600      13312      1.86667    
17:1:47.671  7168       21.875     25600      13312      1.86667    
